frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
62, 4.06667, 0.964096, 1, -42.857, 32.3425, 550.398, 19.3338, 6.36697, -1.58715
63, 4.13333, 0.962125, 1, -42.7234, 32.4891, 550.535, 19.2989, 6.32629, -1.49543
64, 4.2, 0.957797, 1, -42.6668, 32.6682, 550.259, 19.4559, 6.2908, -1.4983
65, 4.26667, 0.960388, 1, -42.6104, 32.9402, 550.864, 19.5248, 6.2663, -1.51983
66, 4.33333, 0.96109, 1, -42.5244, 32.9477, 550.334, 19.6216, 6.26885, -1.49281
67, 4.4, 0.959681, 1, -42.4141, 32.8965, 549.98, 19.472, 6.22991, -1.47893
68, 4.46667, 0.956824, 1, -42.3534, 32.7711, 549.45, 19.4086, 6.22467, -1.42699
69, 4.53333, 0.956771, 1, -42.3207, 32.7619, 549.388, 19.409, 6.2187, -1.46605
70, 4.6, 0.960999, 1, -42.2372, 32.892, 549.998, 19.5125, 6.36331, -1.42051
71, 4.66667, 0.965014, 1, -41.6333, 32.8479, 550.106, 19.3029, 6.38629, -1.04653
72, 4.73333, 0.962964, 1, -41.5861, 32.9864, 550.626, 19.2254, 6.38527, -1.03362
73, 4.8, 0.962571, 1, -41.2666, 33.0192, 549.759, 19.3426, 6.28585, -0.919988
74, 4.86667, 0.959989, 1, -41.1523, 33.077, 549.954, 19.3788, 6.19796, -0.878874
75, 4.93333, 0.960186, 1, -40.9975, 33.0981, 549.514, 19.4635, 6.15251, -0.806455
76, 5, 0.959065, 1, -40.981, 33.0843, 549.23, 19.4126, 6.18241, -0.87152
77, 5.06667, 0.957862, 1, -41.009, 33.1546, 549.784, 19.1638, 6.14692, -0.8691
78, 5.13333, 0.956594, 1, -41.0001, 33.1691, 549.47, 19.1373, 6.08051, -0.877715
79, 5.2, 0.956744, 1, -41.1364, 33.2109, 549.95, 19.1476, 6.13915, -0.898019
80, 5.26667, 0.958165, 1, -41.6228, 33.4164, 550.845, 19.0781, 6.13646, -1.17793
81, 5.33333, 0.959273, 1, -41.6824, 33.5381, 550.782, 19.2803, 6.26591, -1.19469
82, 5.4, 0.960523, 1, -41.774, 33.6029, 551.103, 19.325, 6.26234, -1.24926
83, 5.46667, 0.966225, 1, -41.9752, 33.8185, 552.507, 19.1901, 6.3777, -1.34108
84, 5.53333, 0.970221, 1, -42.0682, 33.9634, 553.397, 19.1877, 6.47191, -1.32055
85, 5.6, 0.969347, 1, -42.2336, 34.1363, 554.461, 19.4683, 6.65539, -1.39001
86, 5.66667, 0.966824, 1, -42.3277, 34.4472, 556.564, 19.4674, 6.76685, -1.38954
87, 5.73333, 0.965336, 1, -42.317, 34.5041, 557.199, 19.4162, 6.76786, -1.37831
88, 5.8, 0.964108, 1, -42.2796, 34.5434, 557.465, 19.4373, 6.75055, -1.38003
89, 5.86667, 0.965286, 1, -42.3201, 34.5386, 557.634, 19.5045, 6.79583, -1.41445
90, 5.93333, 0.964209, 1, -42.3021, 34.5149, 557.372, 19.4984, 6.83258, -1.43396
91, 6, 0.966525, 1, -42.3387, 34.5498, 557.41, 19.5207, 6.87319, -1.41311
92, 6.06667, 0.966703, 1, -42.4112, 34.5924, 557.428, 19.3784, 6.87296, -1.40692
93, 6.13333, 0.965923, 1, -42.4703, 34.5986, 557.377, 19.5368, 6.94117, -1.46842
94, 6.2, 0.965732, 1, -42.4996, 34.6597, 557.814, 19.4515, 6.91991, -1.46259
95, 6.26667, 0.964938, 1, -42.4268, 34.6264, 557.16, 19.5975, 6.91477, -1.47825
96, 6.33333, 0.965229, 1, -42.4098, 34.698, 557.592, 19.497, 6.86541, -1.4547
97, 6.4, 0.964287, 1, -42.3476, 34.6962, 557.378, 19.5715, 6.85987, -1.44846
98, 6.46667, 0.96673, 1, -42.3976, 34.7653, 557.475, 19.5963, 6.93985, -1.49738
99, 6.53333, 0.966285, 1, -42.4543, 34.8132, 557.578, 19.4999, 6.90356, -1.49437
100, 6.6, 0.965141, 1, -42.497, 34.7136, 557.238, 19.6729, 6.91272, -1.55278
101, 6.66667, 0.965482, 1, -42.7053, 34.777, 558.18, 19.4668, 6.98738, -1.55986
102, 6.73333, 0.96569, 1, -42.6915, 34.707, 557.047, 19.5597, 6.95623, -1.57014
103, 6.8, 0.963045, 1, -42.959, 34.9161, 558.845, 19.1417, 7.03308, -1.54711
104, 6.86667, 0.963071, 1, -43.0165, 34.779, 558.267, 19.2942, 7.03398, -1.62687
105, 6.93333, 0.963908, 1, -43.215, 34.7199, 558.839, 19.1766, 7.15419, -1.66901
106, 7, 0.963916, 1, -43.1709, 34.6556, 558.329, 19.4996, 7.20143, -1.78188
107, 7.06667, 0.962856, 1, -43.1653, 34.83, 558.968, 19.2933, 7.11186, -1.73797
108, 7.13333, 0.963488, 1, -42.9845, 34.8446, 557.698, 19.6428, 7.0793, -1.76817
109, 7.2, 0.963814, 1, -43.1521, 34.9838, 559.108, 19.5606, 7.11192, -1.74624
110, 7.26667, 0.962815, 1, -43.0458, 34.9632, 558.155, 19.7822, 7.16256, -1.82563
111, 7.33333, 0.953553, 1, -42.5128, 35.4142, 559.957, 19.2825, 7.02879, -1.45482
112, 7.4, 0.950453, 1, -42.2979, 35.5939, 560.633, 18.9039, 6.91124, -1.24269
113, 7.46667, 0.951213, 1, -42.2914, 35.673, 560.899, 19.0044, 6.86612, -1.25749
114, 7.53333, 0.948456, 1, -42.4804, 35.4854, 561.385, 18.6466, 6.82793, -1.16529
115, 7.6, 0.949182, 1, -42.4385, 35.4607, 561.052, 18.7434, 6.78962, -1.15955
116, 7.66667, 0.952886, 1, -42.474, 35.5651, 560.922, 18.8437, 6.74414, -1.16628
117, 7.73333, 0.951667, 1, -42.4691, 35.613, 560.528, 19.0655, 6.75157, -1.18246
118, 7.8, 0.949011, 1, -42.413, 35.7102, 560.263, 19.0542, 6.63765, -1.20282
119, 7.86667, 0.950629, 1, -42.3291, 35.747, 560.155, 19.0641, 6.61636, -1.18884
120, 7.93333, 0.9489, 1, -42.2772, 35.7933, 560.069, 19.1571, 6.59461, -1.19336
121, 8, 0.94961, 1, -42.1783, 35.9497, 559.619, 19.2189, 6.5853, -1.18944
122, 8.06667, 0.950649, 1, -42.0605, 36.0304, 558.807, 19.2125, 6.49444, -1.09747
123, 8.13333, 0.953185, 1, -41.96, 36.0874, 558.937, 19.0242, 6.42369, -1.0793
124, 8.2, 0.952022, 1, -41.9145, 36.1261, 559.194, 18.8881, 6.39517, -1.06771
125, 8.26667, 0.95362, 1, -41.8132, 36.1696, 558.917, 18.8761, 6.40916, -1.06148
126, 8.33333, 0.953778, 1, -41.7584, 36.2583, 558.886, 18.9255, 6.44093, -1.12283
127, 8.4, 0.952255, 1, -41.7107, 36.3239, 558.858, 18.9126, 6.4599, -1.09461
128, 8.46667, 0.953028, 1, -41.7323, 36.3299, 558.952, 18.887, 6.5074, -1.07247
